Wavelength,Measurement
325.751,0.0523601
328.134,0.119326
330.515,0.115091
332.895,0.115171
335.274,0.115119
337.652,0.115133
340.027,0.114955
342.402,0.11523
344.774,0.115035
347.145,0.114638
349.515,0.115063
351.882,0.115195
354.248,0.115177
356.612,0.115141
358.974,0.115152
361.334,0.115265
363.692,0.115355
366.049,0.11595
368.403,0.116141
370.755,0.116135
373.105,0.116733
375.452,0.118325
377.798,0.119781
380.141,0.123509
382.482,0.129645
384.82,0.140261
387.156,0.158131
389.49,0.186038
391.821,0.226206
394.15,0.280545
396.476,0.348927
398.8,0.425779
401.121,0.498651
403.439,0.549225
405.754,0.567
408.067,0.552515
410.377,0.521328
412.684,0.487716
414.989,0.461417
417.29,0.442937
419.588,0.43229
421.884,0.428162
424.176,0.431721
426.466,0.444214
428.752,0.465883
431.036,0.494465
433.316,0.528558
435.593,0.565869
437.867,0.606814
440.137,0.648959
442.405,0.691133
444.669,0.731603
446.929,0.768233
449.187,0.799734
451.441,0.824182
453.691,0.839071
455.938,0.842363
458.182,0.833206
460.422,0.814464
462.659,0.788699
464.892,0.759086
467.121,0.730372
469.347,0.704303
471.569,0.683412
473.788,0.668693
476.002,0.658446
478.213,0.655144
480.421,0.65554
482.624,0.660942
484.824,0.669708
487.02,0.680024
489.212,0.69075
491.4,0.701934
493.584,0.709907
495.765,0.715713
497.941,0.718914
500.114,0.718742
502.282,0.716558
504.446,0.714102
506.607,0.71124
508.763,0.709395
510.915,0.708208
513.064,0.707941
515.208,0.708978
517.347,0.711616
519.483,0.715861
521.615,0.72304
523.742,0.733423
525.865,0.746436
527.984,0.761061
530.098,0.776451
532.209,0.791236
534.315,0.800208
536.416,0.80231
538.514,0.79535
540.607,0.7807
542.695,0.760969
544.78,0.738291
546.859,0.718519
548.935,0.70682
551.006,0.707419
553.072,0.719038
555.134,0.735068
557.192,0.752829
559.245,0.769046
561.293,0.782233
563.338,0.793627
565.377,0.803077
567.412,0.812532
569.442,0.822126
571.468,0.832414
573.489,0.839125
575.506,0.840072
577.518,0.833444
579.525,0.820041
581.528,0.801922
583.526,0.783097
585.519,0.767221
587.508,0.755916
589.492,0.750467
591.471,0.751516
593.445,0.758015
595.415,0.768656
597.38,0.779428
599.341,0.787461
601.296,0.791453
603.247,0.787548
605.193,0.777402
607.134,0.762096
609.071,0.745556
611.002,0.729459
612.929,0.717295
614.851,0.70991
616.768,0.708684
618.681,0.712662
620.588,0.719905
622.491,0.729925
624.388,0.739323
626.281,0.745453
628.169,0.746242
630.053,0.740171
631.931,0.727827
633.804,0.709533
635.673,0.687322
637.536,0.664669
639.395,0.643003
641.249,0.62413
643.098,0.608923
644.942,0.597674
646.781,0.589855
648.615,0.585976
650.444,0.583566
652.268,0.581864
654.087,0.578971
655.902,0.574485
657.711,0.567439
659.515,0.555444
661.315,0.539567
663.109,0.520672
664.899,0.502008
666.683,0.485597
668.463,0.471342
670.237,0.459989
672.007,0.449132
673.771,0.437692
675.531,0.423741
677.286,0.409379
679.035,0.394731
680.78,0.381159
682.52,0.369921
684.254,0.361121
685.984,0.355018
687.709,0.350017
689.428,0.344353
691.143,0.336815
692.853,0.327497
694.558,0.316377
696.257,0.30399
697.952,0.29265
699.642,0.281306
701.327,0.272522
703.006,0.265168
704.681,0.259771
706.351,0.255687
708.015,0.251688
709.675,0.248259
711.33,0.243004
712.98,0.237029
714.625,0.230348
716.264,0.221915
717.899,0.213887
719.529,0.205879
721.154,0.198461
722.774,0.19224
724.389,0.187435
725.998,0.183967
727.603,0.18091
729.203,0.178727
730.798,0.177375
732.388,0.175763
733.973,0.173185
735.553,0.170606
737.128,0.166943
738.699,0.163244
740.264,0.159365
741.824,0.156036
743.379,0.152668
744.93,0.149766
746.475,0.147453
748.015,0.145524
749.551,0.144091
751.082,0.143051
752.607,0.141887
754.128,0.140961
755.644,0.139521
757.155,0.137893
758.661,0.136423
760.162,0.134978
761.658,0.133136
763.149,0.131539
764.635,0.129687
766.117,0.128474
767.593,0.127302
769.065,0.126272
770.532,0.125414
771.994,0.124268
773.451,0.124041
774.903,0.123397
776.35,0.123134
777.793,0.122968
779.23,0.122277
780.663,0.122345
782.091,0.121404
783.514,0.120794
784.932,0.120348
786.346,0.11959
787.754,0.11854
789.158,0.117924
790.557,0.117479
791.951,0.116781
793.34,0.116454
794.725,0.11653
796.105,0.115606
797.479,0.115438
798.85,0.115388
800.215,0.115339
801.576,0.115269
802.931,0.114707
804.282,0.114653
805.629,0.114504
806.97,0.11436
808.307,0.114231
809.639,0.113619
810.967,0.113347
812.289,0.113254
813.607,0.112652
