Wavelength,Measurement
380,0.000744688
385,0.000593258
390,0.0326419
395,0.000831772
400,0.0147437
405,0.0411007
410,0.0429321
415,0.0552845
420,0.0500891
425,0.0740917
430,0.0113733
435,0.010476
440,0.057356
445,0.0591684
450,0.000588706
455,0.0297139
460,0.0375978
465,0.000699989
470,0.0447558
475,0.0351072
480,0.0627093
485,0.0637416
490,0.0638232
495,0.0612005
500,0.0520136
505,0.0368533
510,0.0406686
515,0.0411474
520,0.000583576
525,0.000701323
530,0.0290954
535,0.0509476
540,0.000827248
545,0.0449329
550,0.0297214
555,0.0320013
560,0.0246487
565,0.00090084
570,0.0146899
575,0.00109971
580,0.0261284
585,0.0171929
590,0.0296158
595,0.0222608
600,0.023026
605,0.0287765
610,0.0102598
615,0.0260858
620,0.0265409
625,0.0174447
630,0.0197353
635,0.0253524
640,0.000825704
645,0.0234104
650,0.0207766
655,0.0173529
660,0.0264912
665,0.022665
670,0.0160858
675,0.0228497
680,0.00068643
685,0.0173275
690,0.0147626
695,0.000821261
700,0.0199012
705,0.0149335
710,0.0160533
715,0.00953211
720,0.0122788
725,0.000682716
730,0.0118615
735,0.0140384
740,0.0155751
